Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
TEN IM Equity,Tenaris SA,EUR,Materials,Iron & Steel,Steel Producers,"Long, Pipe & Tubular"
AGU CN Equity,Agrium Inc,CAD,Materials,Chemicals,Agricultural Chemicals,Fertilizers
002024 CH Equity,Suning Commerce Group Co Ltd,CNY,Consumer Discretionary,Retail - Discretionary,Consumer Elec & Applc Stores,Household Appliance Stores
6273 JP Equity,SMC Corp/Japan,JPY,Industrials,Electrical Equipment,Measurement Instruments,Measuring & Control Devices
IR US Equity,Ingersoll-Rand PLC,USD,Industrials,Electrical Equipment,Comml & Res Bldg Equip & Sys,HVAC Building Products
FUM1V FH Equity,Fortum OYJ,EUR,Utilities,Utilities,Power Generation,#N/A N/A
DPS US Equity,Dr Pepper Snapple Group Inc,USD,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
PH US Equity,Parker-Hannifin Corp,USD,Industrials,Machinery,Flow Control Equipment,Fluid Power Valve
SCG AU Equity,Scentre Group,AUD,Financials,Real Estate,REIT,Retail REIT
WFD AU Equity,Westfield Corp,AUD,Financials,Real Estate,REIT,Retail REIT
HO FP Equity,Thales SA,EUR,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft Parts
7741 JP Equity,Hoya Corp,JPY,Health Care,Medical Equipment & Devices,Health Care Supplies,Ophthalmic Goods
OML LN Equity,Old Mutual PLC,GBp,Financials,Insurance,Life Insurance,#N/A N/A
XLV US Equity,Health Care Select Sector SPDR,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2502 JP Equity,Asahi Group Holdings Ltd,JPY,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
CBK GR Equity,Commerzbank AG,EUR,Financials,Banking,Banks,#N/A N/A
STX US Equity,Seagate Technology PLC,USD,Technology,Hardware,Computer Hardware & Storage,Computer Storage
1303 TT Equity,Nan Ya Plastics Corp,TWD,Materials,Chemicals,Basic & Diversified Chemicals,"Organic Resins, Fibers & Rubber"
PSON LN Equity,Pearson PLC,GBp,Communications,Media,Publishing & Broadcasting,Publishing
600276 CH Equity,Jiangsu Hengrui Medicine Co Lt,CNY,Health Care,Biotech & Pharma,Generic Pharma,#N/A N/A
SBAC US Equity,SBA Communications Corp,USD,Financials,Real Estate,REIT,Specialty & Other REIT
GWW US Equity,WW Grainger Inc,USD,Industrials,Industrial Services,Industrial Distribution & Rental,Industrial Supplies Distributors
UG FP Equity,Peugeot SA,EUR,Consumer Discretionary,Automotive,Automobiles,Passenger Vehicles
CHKP US Equity,Check Point Software Technolog,USD,Technology,Software,Infrastructure Software,Security
BCR US Equity,CR Bard Inc,USD,Health Care,Medical Equipment & Devices,Health Care Supplies,Surgical Appliances & Supplies
KOFL MM Equity,Coca-Cola Femsa SAB de CV,MXN,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
PNDORA DC Equity,Pandora A/S,DKK,Consumer Discretionary,Retail - Discretionary,Jewelry & Watch Stores,Jewelry Stores
BBSE3 BZ Equity,BB Seguridade Participacoes SA,BRL,Financials,Insurance,Insurance Services & Other,#N/A N/A
ROK US Equity,Rockwell Automation Inc,USD,Industrials,Electrical Equipment,Measurement Instruments,Measuring & Control Devices
PFG US Equity,Principal Financial Group Inc,USD,Financials,Insurance,Life Insurance,#N/A N/A
BMRI IJ Equity,Bank Mandiri Persero Tbk PT,IDR,Financials,Banking,Banks,#N/A N/A
CLX US Equity,Clorox Co/The,USD,Consumer Staples,Consumer Products,Household Products,Home Products
530 HK Equity,Goldin Financial Holdings Ltd,HKD,Financials,Asset Management,Investment Companies,Investment Holding Companies
NBAD UH Equity,National Bank of Abu Dhabi PJS,AED,Financials,Banking,Banks,#N/A N/A
RSG US Equity,Republic Services Inc,USD,Industrials,Waste & Environ Svcs & Equip,Waste Management,Solid Waste Collection & Treat
601111 CH Equity,Air China Ltd,CNY,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
NCLH US Equity,Norwegian Cruise Line Holdings,USD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Cruise Lines,#N/A N/A
IVZ US Equity,Invesco Ltd,USD,Financials,Asset Management,Investment Management,#N/A N/A
600048 CH Equity,Poly Real Estate Group Co Ltd,CNY,Financials,Real Estate,Real Estate Owners & Developers,Housing Owners & Developers
HEI GR Equity,HeidelbergCement AG,EUR,Materials,Construction Materials,Cement & Aggregates,Cement
NZYMB DC Equity,Novozymes A/S,DKK,Materials,Chemicals,Specialty Chemicals,#N/A N/A
3402 JP Equity,Toray Industries Inc,JPY,Materials,Chemicals,Specialty Chemicals,Advanced Materials
WY US Equity,Weyerhaeuser Co,USD,Financials,Real Estate,REIT,Specialty & Other REIT
4507 JP Equity,Shionogi & Co Ltd,JPY,Health Care,Biotech & Pharma,Specialty Pharma,#N/A N/A
005490 KS Equity,POSCO,KRW,Materials,Iron & Steel,Steel Producers,#N/A N/A
ESS US Equity,Essex Property Trust Inc,USD,Financials,Real Estate,REIT,Housing REIT
FLT US Equity,FleetCor Technologies Inc,USD,Financials,Specialty Finance,Consumer Finance,Credit & Debit
SJM US Equity,JM Smucker Co/The,USD,Consumer Staples,Consumer Products,Packaged Food,#N/A N/A
SGSN VX Equity,SGS SA,CHF,Consumer Discretionary,Commercial Services,Professional Services,Other Professional Services
1301 TT Equity,Formosa Plastics Corp,TWD,Materials,Chemicals,Basic & Diversified Chemicals,"Organic Resins, Fibers & Rubber"
GFINBURO MM Equity,Grupo Financiero Inbursa SAB d,MXN,Financials,Banking,Banks,#N/A N/A
ALMARAI AB Equity,Almarai Co,SAR,Consumer Staples,Consumer Products,Packaged Food,Dairy & Egg Products
JWN US Equity,Nordstrom Inc,USD,Consumer Discretionary,Retail - Discretionary,Department Stores,High-End Department Stores
MOS US Equity,Mosaic Co/The,USD,Materials,Chemicals,Agricultural Chemicals,Fertilizers
600637 CH Equity,Shanghai Oriental Pearl Media,CNY,Communications,Media,Cable & Satellite,Wired Internet Services - Media
600795 CH Equity,GD Power Development Co Ltd,CNY,Utilities,Utilities,Power Generation,#N/A N/A
600958 CH Equity,Orient Securities Co Ltd/China,CNY,Financials,Institutional Financial Svcs,Institutional Brokerage,Security & Commodity Brokerage
603288 CH Equity,Foshan Haitian Flavouring & Fo,CNY,Consumer Staples,Consumer Products,Packaged Food,Condiments
LI FP Equity,Klepierre,EUR,Financials,Real Estate,REIT,Retail REIT
DTE US Equity,DTE Energy Co,USD,Utilities,Utilities,Integrated Utilities,#N/A N/A
2238 HK Equity,Guangzhou Automobile Group Co,HKD,Consumer Discretionary,Automotive,Automobiles,Passenger Vehicles
TIP US Equity,iShares TIPS Bond ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9613 JP Equity,NTT Data Corp,JPY,Technology,Technology Services,IT Services,IT Services - Commercial
HAL NA Equity,HAL Trust,EUR,Financials,Asset Management,Investment Companies,Investment Holding Companies
ERES QD Equity,Ezdan Holding Group QSC,QAR,Financials,Real Estate,Real Estate Services,RE Brokerage - Leasing
SYMC US Equity,Symantec Corp,USD,Technology,Software,Infrastructure Software,Security
HYG US Equity,iShares iBoxx $ High Yield Cor,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VTBR RM Equity,VTB Bank PJSC,RUB,Financials,Banking,Diversified Banks,#N/A N/A
WDAY US Equity,Workday Inc,USD,Technology,Software,Application Software,Enterprise Software
2454 TT Equity,MediaTek Inc,TWD,Technology,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific"
656 HK Equity,Fosun International Ltd,HKD,Materials,Iron & Steel,Steel Producers,#N/A N/A
SEP US Equity,Spectra Energy Partners LP,USD,Energy,"Oil, Gas & Coal",Midstream - Oil & Gas,Dry Natural Gas Pipelines
UHS US Equity,Universal Health Services Inc,USD,Health Care,Health Care Facilities & Svcs,Health Care Facilities,#N/A N/A
ADEN VX Equity,Adecco Group AG,CHF,Consumer Discretionary,Commercial Services,Professional Services,Mgmt & Admin Consulting Svcs
BBY US Equity,Best Buy Co Inc,USD,Consumer Discretionary,Retail - Discretionary,Consumer Elec & Applc Stores,#N/A N/A
PFF US Equity,iShares US Preferred Stock ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1359 HK Equity,China Cinda Asset Management C,HKD,Financials,Asset Management,Investment Management,Hedge Fund Investments
LSE LN Equity,London Stock Exchange Group PL,GBp,Financials,Institutional Financial Svcs,Security & Cmdty Exchanges,#N/A N/A
SCB TB Equity,Siam Commercial Bank PCL/The,THB,Financials,Banking,Banks,Retail Banking
ITSA4 BZ Equity,Itausa - Investimentos Itau SA,BRL,Financials,Asset Management,Investment Companies,Investment Holding Companies
GRF SM Equity,Grifols SA,EUR,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
8053 JP Equity,Sumitomo Corp,JPY,Industrials,Industrial Services,Industrial Distribution & Rental,Industrial Machinery Distr
AKAM US Equity,Akamai Technologies Inc,USD,Technology,Software,Infrastructure Software,Other Infra Software
VMC US Equity,Vulcan Materials Co,USD,Materials,Construction Materials,Cement & Aggregates,Aggregates
DBEF US Equity,Deutsche X-trackers MSCI EAFE,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
035420 KS Equity,NAVER Corp,KRW,Communications,Media,Internet Media,Internet Advertising Portals
HST US Equity,Host Hotels & Resorts Inc,USD,Financials,Real Estate,REIT,Hotel REIT
TCL AU Equity,Transurban Group,AUD,Industrials,Engineering & Construction Svcs,Infrastructure Construction,Infrastructure Concessions
SANB11 BZ Equity,Banco Santander Brasil SA,BRL,Financials,Banking,Banks,#N/A N/A
1605 JP Equity,Inpex Corp,JPY,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
BKIA SM Equity,Bankia SA,EUR,Financials,Banking,Banks,Retail Banking
SW FP Equity,Sodexo SA,EUR,Consumer Discretionary,Commercial Services,Food Services,Food Service Contractors
051910 KS Equity,LG Chem Ltd,KRW,Materials,Chemicals,Basic & Diversified Chemicals,Organic Chem & Intermediates
VEU US Equity,Vanguard FTSE All-World ex-US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GPS US Equity,Gap Inc/The,USD,Consumer Discretionary,Retail - Discretionary,Specialty Apparel Stores,Family Clothing Stores
NBL US Equity,Noble Energy Inc,USD,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
L US Equity,Loews Corp,USD,Financials,Insurance,P&C Insurance,P&C Insurance Premiums
EMIRATES UH Equity,Emirates NBD PJSC,AED,Financials,Banking,Banks,#N/A N/A
WTB LN Equity,Whitbread PLC,GBp,Consumer Discretionary,"Gaming, Lodging & Restaurants",Lodging,Hotel & Motel (excl Casino Hotel)
NBK KK Equity,National Bank of Kuwait SAKP,KWd,Financials,Banking,Banks,#N/A N/A
002304 CH Equity,Jiangsu Yanghe Brewery Joint-S,CNY,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
FE US Equity,FirstEnergy Corp,USD,Utilities,Utilities,Integrated Utilities,#N/A N/A
NUE US Equity,Nucor Corp,USD,Materials,Iron & Steel,Steel Producers,#N/A N/A
4568 JP Equity,Daiichi Sankyo Co Ltd,JPY,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
AGN NA Equity,Aegon NV,EUR,Financials,Insurance,Life Insurance,#N/A N/A
EN FP Equity,Bouygues SA,EUR,Industrials,Engineering & Construction Svcs,Infrastructure Construction,#N/A N/A
8267 JP Equity,Aeon Co Ltd,JPY,Consumer Staples,Retail - Consumer Staples,Mass Merchants,SuperCenters
CFG US Equity,Citizens Financial Group Inc,USD,Financials,Banking,Banks,#N/A N/A
PAA US Equity,Plains All American Pipeline L,USD,Energy,"Oil, Gas & Coal",Midstream - Oil & Gas,#N/A N/A
EBS AV Equity,Erste Group Bank AG,EUR,Financials,Banking,Banks,#N/A N/A
002739 CH Equity,Wanda Cinema Line Co Ltd,CNY,Consumer Discretionary,Recreation Facilities & Svcs,Entertainment Facilities,Movie Theaters
QBE AU Equity,QBE Insurance Group Ltd,AUD,Financials,Insurance,P&C Insurance,P&C Insurance Premiums
8630 JP Equity,Sompo Holdings Inc,JPY,Financials,Insurance,P&C Insurance,#N/A N/A
2308 TT Equity,Delta Electronics Inc,TWD,Technology,Hardware,Electronics Components,#N/A N/A
JBSS3 BZ Equity,JBS SA,BRL,Consumer Staples,Consumer Products,Packaged Food,Meat Products
670 HK Equity,China Eastern Airlines Corp Lt,HKD,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
RF US Equity,Regions Financial Corp,USD,Financials,Banking,Banks,#N/A N/A
7309 JP Equity,Shimano Inc,JPY,Consumer Discretionary,Leisure Products,Sporting Goods,Bicycles & Parts
GFNORTEO MM Equity,Grupo Financiero Banorte SAB d,MXN,Financials,Banking,Banks,#N/A N/A
TAP US Equity,Molson Coors Brewing Co,USD,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
KGF LN Equity,Kingfisher PLC,GBp,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Home Improvement Stores
FNMA US Equity,Federal National Mortgage Asso,USD,Financials,Specialty Finance,Mortgage Finance,Mortgage Lenders
VIE FP Equity,Veolia Environnement SA,EUR,Utilities,Utilities,Utility Networks,Water Networks
DVY US Equity,iShares Select Dividend ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
QVCA US Equity,Liberty Interactive Corp QVC G,USD,Consumer Discretionary,Retail - Discretionary,Catalog & TV Based Retailers,TV Based Retailers
AAP US Equity,Advance Auto Parts Inc,USD,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Auto Parts & Accessories Stores
YPFD AR Equity,YPF SA,ARS,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
AME US Equity,AMETEK Inc,USD,Industrials,Electrical Equipment,Measurement Instruments,Measuring & Control Devices
BLND LN Equity,British Land Co PLC/The,GBp,Financials,Real Estate,REIT,Retail REIT
RHT US Equity,Red Hat Inc,USD,Technology,Software,Infrastructure Software,System Software
ILD FP Equity,Iliad SA,EUR,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
SHY US Equity,iShares 1-3 Year Treasury Bond,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
WHR US Equity,Whirlpool Corp,USD,Consumer Discretionary,Home & Office Products,Home Improvement,Household Appliances
CF US Equity,CF Industries Holdings Inc,USD,Materials,Chemicals,Agricultural Chemicals,Fertilizers
LNG US Equity,Cheniere Energy Inc,USD,Energy,"Oil, Gas & Coal",Midstream - Oil & Gas,Liquefied Natural Gas (LNG)
KYG ID Equity,Kerry Group PLC,EUR,Consumer Staples,Consumer Products,Packaged Food,Food Ingredients
HOT US Equity,Starwood Hotels & Resorts Worl,USD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Lodging,Hotel & Motel (excl Casino Hotel)
BKIR ID Equity,Bank of Ireland,EUR,Financials,Banking,Banks,#N/A N/A
ENERSIS CI Equity,Enel Americas SA,CLP,Utilities,Utilities,Utility Networks,Electricity Networks
GPC US Equity,Genuine Parts Co,USD,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Auto Parts & Accessories Stores
IFX GR Equity,Infineon Technologies AG,EUR,Technology,Semiconductors,Semiconductor Devices,Analog ICs
EDP PL Equity,EDP - Energias de Portugal SA,EUR,Utilities,Utilities,Power Generation,#N/A N/A
LPC IN Equity,Lupin Ltd,INR,Health Care,Biotech & Pharma,Generic Pharma,#N/A N/A
MKS LN Equity,Marks & Spencer Group PLC,GBp,Consumer Discretionary,Retail - Discretionary,Department Stores,Mid-Tier Department Stores
600871 CH Equity,Sinopec Oilfield Service Corp,CNY,Energy,"Oil, Gas & Coal",Oil & Gas Services & Equip,#N/A N/A
9201 JP Equity,Japan Airlines Co Ltd,JPY,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
BBAS3 BZ Equity,Banco do Brasil SA,BRL,Financials,Banking,Banks,#N/A N/A
CPALL TB Equity,CP ALL PCL,THB,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Convenience Stores
HNR1 GR Equity,Hannover Rueck SE,EUR,Financials,Insurance,Reinsurance,#N/A N/A
1326 TT Equity,Formosa Chemicals & Fibre Corp,TWD,Materials,Chemicals,Basic & Diversified Chemicals,Organic Chem & Intermediates
LNC US Equity,Lincoln National Corp,USD,Financials,Insurance,Life Insurance,Life Insurance Non-Premium
9531 JP Equity,Tokyo Gas Co Ltd,JPY,Utilities,Utilities,Utility Networks,Gas Utilities
9021 JP Equity,West Japan Railway Co,JPY,Consumer Discretionary,Passenger Transportation,Transit Services,Railway Services
1330 JP Equity,Listed Index Fund 225,JPY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SAMBA AB Equity,Samba Financial Group,SAR,Financials,Banking,Banks,#N/A N/A
AA US Equity,Alcoa Corp,USD,Materials,Metals & Mining,Base Metals,Aluminum
VRSK US Equity,Verisk Analytics Inc,USD,Technology,Technology Services,Information Services,Financial Info Services
27 HK Equity,Galaxy Entertainment Group Ltd,HKD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Casinos
SL/ LN Equity,Standard Life PLC,GBp,Financials,Insurance,Life Insurance,Life Insurance Non-Premium
IWR US Equity,iShares Russell Mid-Cap ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SMPH PM Equity,SM Prime Holdings Inc,PHP,Financials,Real Estate,Real Estate Owners & Developers,#N/A N/A
AMP AU Equity,AMP Ltd,AUD,Financials,Insurance,Life Insurance,Life Insurance Non-Premium
CPI LN Equity,Capita PLC,GBp,Consumer Discretionary,Commercial Services,Professional Services,#N/A N/A
IVW US Equity,iShares S&P 500 Growth ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KMX US Equity,CarMax Inc,USD,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Car Dealers
LMCA US Equity,Liberty Media Corp-Liberty For,USD,Communications,Media,Entertainment Content,#N/A N/A
AXIATA MK Equity,Axiata Group Bhd,MYR,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
GBLB BB Equity,Groupe Bruxelles Lambert SA,EUR,Financials,Asset Management,Investment Companies,Investment Holding Companies
2503 JP Equity,Kirin Holdings Co Ltd,JPY,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
CA US Equity,CA Inc,USD,Technology,Software,Infrastructure Software,#N/A N/A
COPEC CI Equity,Empresas COPEC SA,CLP,Energy,"Oil, Gas & Coal",Refining & Marketing,#N/A N/A
VO US Equity,Vanguard Mid-Cap ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
UTCEM IN Equity,UltraTech Cement Ltd,INR,Materials,Construction Materials,Cement & Aggregates,Cement
TDG US Equity,TransDigm Group Inc,USD,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft Parts
NVDA US Equity,NVIDIA Corp,USD,Technology,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific"
CAM US Equity,Cameron International Corp,USD,Energy,"Oil, Gas & Coal",Oil & Gas Services & Equip,Oilfield Services & Equipment
033780 KS Equity,KT&G Corp,KRW,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
APNT IN Equity,Asian Paints Ltd,INR,Materials,Chemicals,Specialty Chemicals,Paints & Coatings
823 HK Equity,Link REIT,HKD,Financials,Real Estate,REIT,Retail REIT
PROX BB Equity,Proximus SADP,EUR,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
SDY US Equity,SPDR S&P Dividend ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2802 JP Equity,Ajinomoto Co Inc,JPY,Consumer Staples,Consumer Products,Packaged Food,Condiments
EMAAR UH Equity,Emaar Properties PJSC,AED,Financials,Real Estate,Real Estate Owners & Developers,#N/A N/A
VWS DC Equity,Vestas Wind Systems A/S,DKK,Energy,Renewable Energy,Renewable Energy Equipment,Wind Energy Equipment
SDR LN Equity,Schroders PLC,GBp,Financials,Asset Management,Investment Management,#N/A N/A
3008 TT Equity,Largan Precision Co Ltd,TWD,Technology,Hardware,Other Hardware,Optical Instruments & Lens
CSP1 LN Equity,iShares Core S&P 500 UCITS ETF,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HBI US Equity,Hanesbrands Inc,USD,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Apparel Design
THBEV SP Equity,Thai Beverage PCL,SGD,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
KBANK TB Equity,Kasikornbank PCL,THB,Financials,Banking,Banks,#N/A N/A
LH US Equity,Laboratory Corp of America Hol,USD,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services
GEBN VX Equity,Geberit AG,CHF,Consumer Discretionary,Home & Office Products,Home Improvement,Plumbing Products
CEZ CP Equity,CEZ AS,CZK,Utilities,Utilities,Utility Networks,Electricity Networks
1044 HK Equity,Hengan International Group Co,HKD,Consumer Staples,Consumer Products,Household Products,Personal Care Products
SABB AB Equity,Saudi British Bank/The,SAR,Financials,Banking,Banks,#N/A N/A
8601 JP Equity,Daiwa Securities Group Inc,JPY,Financials,Institutional Financial Svcs,Institutional Brokerage,#N/A N/A
836 HK Equity,China Resources Power Holdings,HKD,Utilities,Utilities,Power Generation,Fossil Electric Generation
KD8 GR Equity,Kabel Deutschland Holding AG,EUR,Communications,Media,Cable & Satellite,#N/A N/A
WIL SP Equity,Wilmar International Ltd,SGD,Consumer Staples,Consumer Products,Agricultural Producers,"Sugar, Grain & Oilseed Mill"
MSI US Equity,Motorola Solutions Inc,USD,Technology,Hardware,Communications Equipment,Telecommunications Equipment
MAC US Equity,Macerich Co/The,USD,Financials,Real Estate,REIT,Retail REIT
MGM US Equity,MGM Resorts International,USD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Casinos
TSO US Equity,Tesoro Corp,USD,Energy,"Oil, Gas & Coal",Refining & Marketing,Petroleum Marketing
7733 JP Equity,Olympus Corp,JPY,Health Care,Medical Equipment & Devices,Medical Equipment,Surgical & Medical Instruments
A US Equity,Agilent Technologies Inc,USD,Health Care,Medical Equipment & Devices,Life Science Equipment,Analytical Lab Equipment
FCX US Equity,Freeport-McMoRan Inc,USD,Materials,Metals & Mining,Base Metals,Copper
2333 HK Equity,Great Wall Motor Co Ltd,HKD,Consumer Discretionary,Automotive,Automobiles,#N/A N/A
TSCO US Equity,Tractor Supply Co,USD,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Home Improvement Stores
MAXIS MK Equity,Maxis Bhd,MYR,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
FSL US Equity,Freescale Semiconductor Ltd,USD,Technology,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific"
9502 JP Equity,Chubu Electric Power Co Inc,JPY,Utilities,Utilities,Integrated Utilities,#N/A N/A
BIMBOA MM Equity,Grupo Bimbo SAB de CV,MXN,Consumer Staples,Consumer Products,Packaged Food,Bread & Bakery Products
600893 CH Equity,Avic Aviation Engine Corp PLC,CNY,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft Parts
SRCL US Equity,Stericycle Inc,USD,Industrials,Waste & Environ Svcs & Equip,Waste Management,Hazardous Waste Collect & Treat
AM FP Equity,Dassault Aviation SA,EUR,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft
2587 JP Equity,Suntory Beverage & Food Ltd,JPY,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
MLM US Equity,Martin Marietta Materials Inc,USD,Materials,Construction Materials,Cement & Aggregates,Aggregates
VUSA LN Equity,Vanguard S&P 500 UCITS ETF,GBP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EFX US Equity,Equifax Inc,USD,Technology,Technology Services,Information Services,Financial Info Services
RIBL AB Equity,Riyad Bank,SAR,Financials,Banking,Banks,#N/A N/A
YAR NO Equity,Yara International ASA,NOK,Materials,Chemicals,Agricultural Chemicals,Fertilizers
8308 JP Equity,Resona Holdings Inc,JPY,Financials,Banking,Banks,#N/A N/A
CXO US Equity,Concho Resources Inc,USD,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
CARLB DC Equity,Carlsberg A/S,DKK,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
TKA GR Equity,thyssenkrupp AG,EUR,Materials,Iron & Steel,Steel Producers,#N/A N/A
MT NA Equity,ArcelorMittal,EUR,Materials,Iron & Steel,Steel Producers,#N/A N/A
8113 JP Equity,Unicharm Corp,JPY,Consumer Staples,Consumer Products,Household Products,Personal Care Products
SAND SS Equity,Sandvik AB,SEK,Industrials,Machinery,Construction & Mining Machinery,#N/A N/A
DHI US Equity,DR Horton Inc,USD,Consumer Discretionary,Home & Office Products,Homebuilders,Single Family Home Const
KEY US Equity,KeyCorp,USD,Financials,Banking,Banks,#N/A N/A
WFM US Equity,Whole Foods Market Inc,USD,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Supermarkets
LRCX US Equity,Lam Research Corp,USD,Technology,Semiconductors,Semiconductor Mfg,Front End Capital Equipment
XLK US Equity,Technology Select Sector SPDR,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HEXAB SS Equity,Hexagon AB,SEK,Industrials,Electrical Equipment,Measurement Instruments,#N/A N/A
IWB US Equity,iShares Russell 1000 ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SUN AU Equity,Suncorp Group Ltd,AUD,Financials,Insurance,P&C Insurance,#N/A N/A
105560 KS Equity,KB Financial Group Inc,KRW,Financials,Banking,Banks,#N/A N/A
6869 JP Equity,Sysmex Corp,JPY,Health Care,Medical Equipment & Devices,Life Science Equipment,In Vitro Diagnostics
BHIN IN Equity,Bharti Infratel Ltd,INR,Industrials,Engineering & Construction Svcs,Infrastructure Construction,Communication Infra Const
MKL US Equity,Markel Corp,USD,Financials,Insurance,P&C Insurance,#N/A N/A
EXO IM Equity,EXOR NV,EUR,Financials,Asset Management,Investment Companies,#N/A N/A
CTXS US Equity,Citrix Systems Inc,USD,Technology,Software,Infrastructure Software,Cloud & Virtualization
HOLX US Equity,Hologic Inc,USD,Health Care,Medical Equipment & Devices,Medical Equipment,#N/A N/A
NWL US Equity,Newell Brands Inc,USD,Consumer Discretionary,Home & Office Products,Home & Office Furnishings,Housewares
NOW US Equity,ServiceNow Inc,USD,Technology,Software,Infrastructure Software,Other Infra Software
ALI PM Equity,Ayala Land Inc,PHP,Financials,Real Estate,Real Estate Owners & Developers,Housing Owners & Developers
HSIC US Equity,Henry Schein Inc,USD,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Health Care Distribution
9503 JP Equity,Kansai Electric Power Co Inc/T,JPY,Utilities,Utilities,Integrated Utilities,#N/A N/A
600663 CH Equity,Shanghai Lujiazui Finance & Tr,CNY,Financials,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop
ADP FP Equity,Aeroports de Paris,EUR,Industrials,Transportation & Logistics,Transport Support Services,Air Transp Support Services
SNDK US Equity,SanDisk Corp,USD,Technology,Semiconductors,Semiconductor Devices,Memory ICs
HOG US Equity,Harley-Davidson Inc,USD,Consumer Discretionary,Automotive,Automobiles,Motorbikes & Parts
CCE US Equity,Coca-Cola European Partners PL,USD,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
ETR US Equity,Entergy Corp,USD,Utilities,Utilities,Integrated Utilities,#N/A N/A
XL US Equity,XL Group Ltd,USD,Financials,Insurance,P&C Insurance,P&C Insurance Premiums
PEO PW Equity,Bank Pekao SA,PLN,Financials,Banking,Banks,Corporate Banking
GIB/A CN Equity,CGI Group Inc,CAD,Technology,Technology Services,IT Services,IT Services - Commercial
